date_key,full_date,year,month,quarter
1,2018-01-01,2018,1,1
2,2018-01-02,2018,1,1
3,2018-01-03,2018,1,1
4,2018-01-04,2018,1,1
5,2018-01-05,2018,1,1
6,2018-01-06,2018,1,1
7,2018-01-07,2018,1,1
8,2018-01-08,2018,1,1
9,2018-01-09,2018,1,1
10,2018-01-10,2018,1,1
11,2018-01-11,2018,1,1
12,2018-01-12,2018,1,1
13,2018-01-13,2018,1,1
14,2018-01-14,2018,1,1
15,2018-01-15,2018,1,1
16,2018-01-16,2018,1,1
17,2018-01-17,2018,1,1
18,2018-01-18,2018,1,1
19,2018-01-19,2018,1,1
20,2018-01-20,2018,1,1
21,2018-01-21,2018,1,1
22,2018-01-22,2018,1,1
23,2018-01-23,2018,1,1
24,2018-01-24,2018,1,1
25,2018-01-25,2018,1,1
26,2018-01-26,2018,1,1
27,2018-01-27,2018,1,1
28,2018-01-28,2018,1,1
29,2018-01-29,2018,1,1
30,2018-01-30,2018,1,1
31,2018-01-31,2018,1,1
32,2018-02-01,2018,2,1
33,2018-02-02,2018,2,1
34,2018-02-03,2018,2,1
35,2018-02-04,2018,2,1
36,2018-02-05,2018,2,1
37,2018-02-06,2018,2,1
38,2018-02-07,2018,2,1
39,2018-02-08,2018,2,1
40,2018-02-09,2018,2,1
41,2018-02-10,2018,2,1
42,2018-02-11,2018,2,1
43,2018-02-12,2018,2,1
44,2018-02-13,2018,2,1
45,2018-02-14,2018,2,1
46,2018-02-15,2018,2,1
47,2018-02-16,2018,2,1
48,2018-02-17,2018,2,1
49,2018-02-18,2018,2,1
50,2018-02-19,2018,2,1
51,2018-02-20,2018,2,1
52,2018-02-21,2018,2,1
53,2018-02-22,2018,2,1
54,2018-02-23,2018,2,1
55,2018-02-24,2018,2,1
56,2018-02-25,2018,2,1
57,2018-02-26,2018,2,1
58,2018-02-27,2018,2,1
59,2018-02-28,2018,2,1
60,2018-03-01,2018,3,1
61,2018-03-02,2018,3,1
62,2018-03-03,2018,3,1
63,2018-03-04,2018,3,1
64,2018-03-05,2018,3,1
65,2018-03-06,2018,3,1
66,2018-03-07,2018,3,1
67,2018-03-08,2018,3,1
68,2018-03-09,2018,3,1
69,2018-03-10,2018,3,1
70,2018-03-11,2018,3,1
71,2018-03-12,2018,3,1
72,2018-03-13,2018,3,1
73,2018-03-14,2018,3,1
74,2018-03-15,2018,3,1
75,2018-03-16,2018,3,1
76,2018-03-17,2018,3,1
77,2018-03-18,2018,3,1
78,2018-03-19,2018,3,1
79,2018-03-20,2018,3,1
80,2018-03-21,2018,3,1
81,2018-03-22,2018,3,1
82,2018-03-23,2018,3,1
83,2018-03-24,2018,3,1
84,2018-03-25,2018,3,1
85,2018-03-26,2018,3,1
86,2018-03-27,2018,3,1
87,2018-03-28,2018,3,1
88,2018-03-29,2018,3,1
89,2018-03-30,2018,3,1
90,2018-03-31,2018,3,1
91,2018-04-01,2018,4,2
92,2018-04-02,2018,4,2
93,2018-04-03,2018,4,2
94,2018-04-04,2018,4,2
95,2018-04-05,2018,4,2
96,2018-04-06,2018,4,2
97,2018-04-07,2018,4,2
98,2018-04-08,2018,4,2
99,2018-04-09,2018,4,2
100,2018-04-10,2018,4,2
101,2018-04-11,2018,4,2
102,2018-04-12,2018,4,2
103,2018-04-13,2018,4,2
104,2018-04-14,2018,4,2
105,2018-04-15,2018,4,2
106,2018-04-16,2018,4,2
107,2018-04-17,2018,4,2
108,2018-04-18,2018,4,2
109,2018-04-19,2018,4,2
110,2018-04-20,2018,4,2
111,2018-04-21,2018,4,2
112,2018-04-22,2018,4,2
113,2018-04-23,2018,4,2
114,2018-04-24,2018,4,2
115,2018-04-25,2018,4,2
116,2018-04-26,2018,4,2
117,2018-04-27,2018,4,2
118,2018-04-28,2018,4,2
119,2018-04-29,2018,4,2
120,2018-04-30,2018,4,2
121,2018-05-01,2018,5,2
122,2018-05-02,2018,5,2
123,2018-05-03,2018,5,2
124,2018-05-04,2018,5,2
125,2018-05-05,2018,5,2
126,2018-05-06,2018,5,2
127,2018-05-07,2018,5,2
128,2018-05-08,2018,5,2
129,2018-05-09,2018,5,2
130,2018-05-10,2018,5,2
131,2018-05-11,2018,5,2
132,2018-05-12,2018,5,2
133,2018-05-13,2018,5,2
134,2018-05-14,2018,5,2
135,2018-05-15,2018,5,2
136,2018-05-16,2018,5,2
137,2018-05-17,2018,5,2
138,2018-05-18,2018,5,2
139,2018-05-19,2018,5,2
140,2018-05-20,2018,5,2
141,2018-05-21,2018,5,2
142,2018-05-22,2018,5,2
143,2018-05-23,2018,5,2
144,2018-05-24,2018,5,2
145,2018-05-25,2018,5,2
146,2018-05-26,2018,5,2
147,2018-05-27,2018,5,2
148,2018-05-28,2018,5,2
149,2018-05-29,2018,5,2
150,2018-05-30,2018,5,2
151,2018-05-31,2018,5,2
152,2018-06-01,2018,6,2
153,2018-06-02,2018,6,2
154,2018-06-03,2018,6,2
155,2018-06-04,2018,6,2
156,2018-06-05,2018,6,2
157,2018-06-06,2018,6,2
158,2018-06-07,2018,6,2
159,2018-06-08,2018,6,2
160,2018-06-09,2018,6,2
161,2018-06-10,2018,6,2
162,2018-06-11,2018,6,2
163,2018-06-12,2018,6,2
164,2018-06-13,2018,6,2
165,2018-06-14,2018,6,2
166,2018-06-15,2018,6,2
167,2018-06-16,2018,6,2
168,2018-06-17,2018,6,2
169,2018-06-18,2018,6,2
170,2018-06-19,2018,6,2
171,2018-06-20,2018,6,2
172,2018-06-21,2018,6,2
173,2018-06-22,2018,6,2
174,2018-06-23,2018,6,2
175,2018-06-24,2018,6,2
176,2018-06-25,2018,6,2
177,2018-06-26,2018,6,2
178,2018-06-27,2018,6,2
179,2018-06-28,2018,6,2
180,2018-06-29,2018,6,2
181,2018-06-30,2018,6,2
182,2018-07-01,2018,7,3
183,2018-07-02,2018,7,3
184,2018-07-03,2018,7,3
185,2018-07-04,2018,7,3
186,2018-07-05,2018,7,3
187,2018-07-06,2018,7,3
188,2018-07-07,2018,7,3
189,2018-07-08,2018,7,3
190,2018-07-09,2018,7,3
191,2018-07-10,2018,7,3
192,2018-07-11,2018,7,3
193,2018-07-12,2018,7,3
194,2018-07-13,2018,7,3
195,2018-07-14,2018,7,3
196,2018-07-15,2018,7,3
197,2018-07-16,2018,7,3
198,2018-07-17,2018,7,3
199,2018-07-18,2018,7,3
200,2018-07-19,2018,7,3
201,2018-07-20,2018,7,3
202,2018-07-21,2018,7,3
203,2018-07-22,2018,7,3
204,2018-07-23,2018,7,3
205,2018-07-24,2018,7,3
206,2018-07-25,2018,7,3
207,2018-07-26,2018,7,3
208,2018-07-27,2018,7,3
209,2018-07-28,2018,7,3
210,2018-07-29,2018,7,3
211,2018-07-30,2018,7,3
212,2018-07-31,2018,7,3
213,2018-08-01,2018,8,3
214,2018-08-02,2018,8,3
215,2018-08-03,2018,8,3
216,2018-08-04,2018,8,3
217,2018-08-05,2018,8,3
218,2018-08-06,2018,8,3
219,2018-08-07,2018,8,3
220,2018-08-08,2018,8,3
221,2018-08-09,2018,8,3
222,2018-08-10,2018,8,3
223,2018-08-11,2018,8,3
224,2018-08-12,2018,8,3
225,2018-08-13,2018,8,3
226,2018-08-14,2018,8,3
227,2018-08-15,2018,8,3
228,2018-08-16,2018,8,3
229,2018-08-17,2018,8,3
230,2018-08-18,2018,8,3
231,2018-08-19,2018,8,3
232,2018-08-20,2018,8,3
233,2018-08-21,2018,8,3
234,2018-08-22,2018,8,3
235,2018-08-23,2018,8,3
236,2018-08-24,2018,8,3
237,2018-08-25,2018,8,3
238,2018-08-26,2018,8,3
239,2018-08-27,2018,8,3
240,2018-08-28,2018,8,3
241,2018-08-29,2018,8,3
242,2018-08-30,2018,8,3
243,2018-08-31,2018,8,3
244,2018-09-01,2018,9,3
245,2018-09-02,2018,9,3
246,2018-09-03,2018,9,3
247,2018-09-04,2018,9,3
248,2018-09-05,2018,9,3
249,2018-09-06,2018,9,3
250,2018-09-07,2018,9,3
251,2018-09-08,2018,9,3
252,2018-09-09,2018,9,3
