application_id,candidate_key,date_key,country_key,seniority_key,technology_key,code_challenge_score,technical_interview_score,is_hired
1,1,1153,162,2,5,3,3,0
2,2,1348,167,2,5,2,10,0
3,3,835,20,5,4,10,9,1
4,4,1005,66,7,17,7,1,0
5,5,871,148,5,22,9,7,1
6,6,594,244,3,1,2,9,0
7,7,138,240,7,18,2,9,0
8,8,1439,148,4,15,2,5,0
9,9,72,107,4,22,7,10,1
10,10,1559,217,4,8,2,0,0
11,11,630,11,2,10,4,9,0
12,12,927,76,4,8,7,4,0
13,13,1457,42,5,19,5,10,0
14,14,860,64,3,23,7,8,1
15,15,650,147,1,20,4,1,0
16,16,291,32,5,14,4,6,0
17,17,815,146,1,22,5,5,0
18,18,1239,183,6,22,3,5,0
19,19,122,174,7,11,4,2,0
20,20,1199,147,1,1,2,3,0
21,21,445,41,1,14,0,2,0
22,22,924,195,4,21,4,1,0
23,23,1105,60,3,14,8,8,1
24,24,1304,72,5,9,7,5,0
25,25,687,21,1,8,5,6,0
26,26,115,159,4,22,8,4,0
27,27,756,109,4,7,8,10,1
28,28,1434,166,3,20,6,8,0
29,29,1466,70,7,2,1,4,0
30,30,1063,118,3,15,5,1,0
31,31,510,183,5,20,5,0,0
32,32,264,192,6,9,3,7,0
33,33,63,173,1,15,3,6,0
34,34,1327,140,2,4,10,0,0
35,35,233,167,6,1,8,8,1
36,36,906,126,4,8,4,2,0
37,37,72,18,6,12,3,5,0
38,38,372,213,2,13,8,0,0
39,39,1487,198,2,11,10,4,0
40,40,715,139,2,3,2,2,0
41,41,1545,158,4,13,4,0,0
42,42,277,86,7,6,3,3,0
43,43,701,27,4,21,3,6,0
44,44,984,92,6,20,5,0,0
45,45,1162,53,5,8,0,0,0
46,46,1282,208,5,12,6,5,0
47,47,1195,242,3,8,7,8,1
48,48,481,158,2,14,2,8,0
49,49,1089,228,6,1,6,2,0
50,50,1183,243,4,2,2,9,0
51,51,997,240,3,8,8,7,1
52,52,64,166,1,13,2,8,0
53,53,1273,169,6,14,5,5,0
54,54,1519,175,6,20,10,10,1
55,55,1546,128,1,5,9,2,0
56,56,299,33,7,2,10,7,1
57,57,1345,110,4,14,8,5,0
58,58,1370,242,4,11,6,1,0
59,59,162,75,1,10,3,8,0
60,60,1097,232,5,19,9,4,0
61,61,520,132,3,21,6,5,0
62,62,240,7,4,18,6,3,0
63,63,120,95,3,9,5,7,0
64,64,1474,5,4,16,5,10,0
65,65,1120,177,4,21,9,8,1
66,66,145,223,4,2,2,2,0
67,67,756,94,7,24,4,1,0
68,68,1295,133,5,18,10,5,0
69,69,1562,140,7,17,4,3,0
70,70,1383,123,3,12,9,3,0
71,71,251,65,5,22,7,5,0
72,72,732,139,1,2,5,6,0
73,73,719,3,1,1,8,3,0
74,74,1288,69,1,19,10,6,0
75,75,198,175,7,14,5,0,0
76,76,1298,62,6,9,0,1,0
77,77,1044,108,3,12,7,2,0
78,78,221,66,5,3,4,1,0
79,79,736,190,6,15,8,0,0
80,80,430,129,4,22,5,10,0
81,81,713,2,3,7,10,2,0
82,82,709,240,2,8,1,9,0
83,83,244,91,3,19,7,5,0
84,84,296,183,7,18,6,10,0
85,85,1022,30,6,8,1,8,0
86,86,1432,55,3,12,2,6,0
87,87,1274,28,7,20,9,4,0
88,88,1058,114,4,4,6,10,0
89,89,1629,67,3,3,7,9,1
90,90,1405,151,5,14,2,8,0
91,91,927,50,7,21,6,3,0
92,92,1037,117,7,12,1,1,0
93,93,694,235,6,18,5,7,0
94,94,7,136,3,3,5,2,0
95,95,117,150,2,23,7,7,1
96,96,80,221,5,18,0,0,0
97,97,279,82,6,11,8,4,0
98,98,445,172,3,24,3,0,0
99,99,1145,144,4,9,4,6,0
100,100,1123,8,7,20,10,10,1
101,101,413,206,5,12,0,4,0
102,102,824,96,5,5,3,6,0
103,103,199,40,7,20,8,10,1
104,104,410,73,6,7,7,6,0
105,105,958,238,3,8,9,3,0
106,106,340,102,4,8,9,2,0
107,107,1503,195,1,11,10,10,1
108,108,345,19,1,6,4,5,0
109,109,893,62,5,5,4,1,0
110,110,1500,55,7,15,1,2,0
111,111,1444,225,2,3,3,7,0
112,112,1423,67,2,22,10,8,1
113,113,1216,130,1,4,4,4,0
114,114,353,14,4,19,7,9,1
115,115,274,34,2,20,9,0,0
116,116,534,141,7,2,6,0,0
117,117,19,64,5,7,6,8,0
118,118,1038,117,3,6,10,3,0
119,119,246,7,4,14,8,5,0
120,120,485,194,1,13,7,5,0
121,121,39,3,7,8,1,7,0
122,122,220,101,4,8,5,8,0
123,123,874,230,2,12,9,10,1
124,124,1072,73,3,14,3,5,0
125,125,310,93,3,23,3,1,0
126,126,1108,93,4,16,5,7,0
127,127,417,139,4,11,0,4,0
128,128,1509,110,3,17,2,7,0
129,129,902,141,4,2,2,10,0
130,130,1330,14,7,9,3,3,0
131,131,399,114,5,19,1,6,0
132,132,1336,97,2,2,6,6,0
133,133,208,109,6,22,10,5,0
134,134,368,31,5,9,6,0,0
135,135,52,58,1,18,0,3,0
136,136,446,150,7,13,9,1,0
137,137,139,222,2,7,1,0,0
138,138,1519,25,3,24,8,10,1
139,139,85,116,2,10,0,7,0
140,140,92,1,3,13,10,3,0
141,141,391,85,7,17,2,8,0
142,142,1632,60,4,24,9,8,1
143,143,357,131,4,22,1,10,0
144,144,873,244,2,12,5,6,0
145,145,569,132,2,7,8,6,0
146,146,725,218,2,21,3,6,0
147,147,1213,94,2,9,1,2,0
148,148,361,235,6,6,1,3,0
149,149,957,130,4,15,4,10,0
150,150,423,49,1,21,10,3,0
151,151,1148,144,3,14,6,6,0
152,152,1140,218,5,15,8,9,1
153,153,439,22,6,10,7,2,0
154,154,1560,52,4,14,7,2,0
155,155,1638,218,4,13,5,7,0
156,156,768,134,5,7,6,0,0
157,157,68,116,2,12,8,4,0
158,158,589,87,4,15,0,2,0
159,159,1543,81,3,24,3,8,0
160,160,334,223,1,6,0,5,0
161,161,846,4,5,9,0,2,0
162,162,212,14,6,13,5,0,0
163,163,1090,106,6,15,1,0,0
164,164,1120,206,3,2,1,7,0
165,165,861,122,4,8,1,5,0
166,166,1079,120,6,2,4,10,0
167,167,1462,189,3,8,6,3,0
168,168,155,113,2,23,2,3,0
169,169,521,33,3,7,3,10,0
170,170,1540,81,2,3,7,7,1
171,171,25,41,5,5,7,9,1
172,172,1120,187,6,11,3,9,0
173,173,1025,111,4,15,6,7,0
174,174,349,34,3,13,5,5,0
175,175,1598,64,6,17,10,9,1
176,176,521,228,2,1,4,8,0
177,177,627,16,5,7,0,9,0
178,178,194,33,1,20,0,3,0
179,179,1427,60,7,4,6,10,0
180,180,1619,17,7,13,10,4,0
181,181,1579,213,3,19,1,0,0
182,182,1633,140,1,13,8,9,1
183,183,457,31,3,23,8,7,1
184,184,473,156,5,18,9,3,0
185,185,927,34,4,2,8,9,1
186,186,1362,130,5,11,8,4,0
187,187,1156,59,6,10,1,5,0
188,188,812,185,7,13,2,7,0
189,189,1444,112,7,22,1,6,0
190,190,802,82,6,6,6,3,0
191,191,412,220,4,19,7,10,1
192,192,1549,5,7,11,4,0,0
193,193,1551,175,5,4,7,1,0
194,194,458,244,3,16,6,2,0
195,195,673,6,7,16,7,4,0
196,196,427,25,5,15,5,8,0
197,197,729,186,1,6,10,7,1
198,198,866,60,3,7,6,8,0
199,199,908,178,6,7,6,4,0
200,200,1030,131,6,10,8,4,0
201,201,1246,30,5,1,3,2,0
202,202,595,50,5,6,9,4,0
203,203,841,157,3,17,5,7,0
204,204,685,231,6,16,3,1,0
205,205,1507,9,6,18,1,6,0
206,206,567,57,5,19,2,6,0
207,207,360,216,2,2,7,6,0
208,208,482,171,4,8,4,10,0
209,209,268,241,4,2,1,5,0
210,210,1061,53,3,2,8,3,0
211,211,1404,24,5,4,8,0,0
212,212,323,208,1,21,2,2,0
213,213,158,178,1,7,5,3,0
214,214,757,117,5,20,10,9,1
215,215,1115,78,6,17,10,2,0
216,216,1065,239,4,16,8,7,1
217,217,449,199,3,21,6,6,0
218,218,407,140,4,8,5,2,0
219,219,217,14,3,12,0,0,0
220,220,1591,62,2,4,1,7,0
221,221,1307,224,4,15,7,8,1
222,222,839,145,2,21,3,1,0
223,223,941,171,1,5,0,5,0
224,224,741,14,4,2,3,3,0
225,225,142,182,6,24,10,2,0
226,226,1642,169,6,15,6,0,0
227,227,266,216,2,15,0,6,0
228,228,1247,25,6,21,10,3,0
229,229,1045,182,4,8,3,3,0
230,230,831,218,4,15,8,9,1
231,231,1409,70,1,1,2,9,0
232,232,589,193,4,7,3,9,0
233,233,1586,139,4,13,5,6,0
234,234,542,184,6,15,5,2,0
235,235,146,137,1,14,5,2,0
236,236,1298,5,4,1,4,3,0
237,237,679,181,3,14,4,1,0
238,238,68,93,2,23,4,8,0
239,239,1054,102,1,4,1,0,0
240,240,1411,217,1,11,9,7,1
241,241,845,156,6,10,0,5,0
242,242,1341,44,3,8,5,0,0
243,243,1585,94,7,14,0,1,0
244,244,1536,185,4,2,3,3,0
245,245,699,242,3,16,3,4,0
246,246,1262,75,2,4,5,6,0
247,247,1245,184,6,4,4,7,0
248,248,262,55,5,6,10,5,0
249,249,1618,213,4,23,2,6,0
250,250,1626,73,2,3,10,2,0
251,251,1007,92,5,11,10,4,0
252,252,1531,219,5,10,8,0,0
253,253,1075,3,7,11,2,10,0
254,254,260,73,5,22,5,7,0
255,255,599,219,4,13,6,2,0
256,256,1120,167,3,12,6,8,0
257,257,980,136,7,20,6,4,0
258,258,1204,147,2,8,5,4,0
259,259,265,173,2,24,1,10,0
260,260,267,83,5,6,6,8,0
261,261,716,123,2,15,7,5,0
262,262,338,168,7,12,0,0,0
263,263,1514,239,7,8,6,0,0
264,264,331,145,7,21,4,6,0
265,265,738,194,6,20,10,1,0
266,266,74,71,4,6,4,1,0
267,267,260,54,3,7,2,10,0
268,268,728,22,7,14,7,9,1
269,269,908,13,4,6,4,5,0
270,270,59,64,7,4,1,3,0
271,271,192,63,3,7,0,0,0
272,272,626,158,7,2,1,6,0
273,273,345,83,1,17,5,1,0
